SP_ENTITY_ID,CompanyType,CompanyStatus
4021980,Public Company,Operating
4092847,Public Company,Operating
4142027,Public Company,Operating
4153733,Public Company,Operating
4160258,Public Company,Operating
4239659,Public Company,Operating
4261521,Public Company,Operating
4276821,Public Company,Operating
4327198,Public Company,Operating
4349995,Public Company,Operating
4401941,Public Company,Operating
4403916,Public Company,Operating
4416726,Public Company,Operating
4420334,Public Company,Operating
4424169,Public Company,Operating
4426783,Public Company,Operating
4565554,Public Company,Operating
4641918,Public Company,Operating
4770121,Public Company,Operating
4810409,Public Company,Operating
4810724,Public Company,Operating
4810896,Public Company,Operating
4811056,Public Company,Operating
4811197,Public Company,Operating
4811521,Public Company,Operating
4811591,Public Company,Operating
4811695,Public Company,Operating
4811760,Public Company,Operating
4811954,Public Company,Operating
4812067,Public Company,Operating
4812756,Public Company,Operating
4812813,Public Company,Operating
4913670,Public Company,Operating
4977885,Public Company,Operating
4978093,Public Company,Operating
4989077,Public Company,Operating
4994908,Public Company,Operating
4996395,Public Company,Operating
4999273,Public Company,Operating
5000790,Public Company,Operating
5001439,Public Company,Operating
5013726,Public Company,Operating
5031604,Public Company,Operating
5109836,Public Company,Operating
5174695,Public Company,Operating
5176861,Public Company,Operating
5181255,Public Company,Operating
5214991,Public Company,Operating
5239538,Public Company,Operating
5242080,Public Company,Operating
5244284,Public Company,Operating
5250653,Public Company,Operating
5255493,Public Company,Operating
5255986,Public Company,Operating
5263639,Public Company,Operating
5264620,Public Company,Operating
5265242,Public Company,Operating
5267913,Public Company,Operating
5277128,Public Company,Operating
5293460,Public Company,Operating
5297753,Public Company,Operating
5302933,Public Company,Operating
5303886,Public Company,Operating
5309396,Public Company,Operating
5311902,Public Company,Operating
5321096,Public Company,Operating
5321237,Public Company,Operating
5326808,Public Company,Operating
5328081,Public Company,Operating
6319660,Public Company,Operating
6459368,Public Company,Operating
6867615,Public Company,Operating
6910410,Public Company,Operating
7106242,Public Company,Operating
7389138,Public Company,Operating
8251154,Public Company,Operating
8435281,Public Company,Operating
9098887,Public Company,Operating
9956217,Public Company,Operating
10976234,Public Company,Operating
13087393,Public Company,Operating
13373011,Public Company,Operating
13597615,Public Company,Operating
14887727,Public Company,Operating
17514167,Public Company,Operating
19095891,Public Company,Operating
19098526,Public Company,Operating
19243702,Public Company,Operating
19659800,Public Company,Operating
19871451,Public Company,Operating
25283066,Public Company,Operating
27682584,Public Company,Operating
27875239,Public Company,Operating
28743844,Public Company,Operating
29331846,Public Company,Operating
29657689,Public Company,Operating
100420749,Public Company,Operating
101570773,Public Company,Operating
105643522,Public Company,Operating
107089758,Public Company,Operating
108129648,Public Company,Operating
110336920,Public Company,Operating
113495488,Public Company,Operating
123916273,Public Company,Operating
