SP_ENTITY_ID,LFY,FY-1,FY-2,FY-3
4021980,1345835,1009985,647684,371033
4092847,37091,23118,15330,10005
4142027,2082526,1563391,1189935,863381
4153733,5525,2732,1759,1206
4160258,20777000,14473000,10537000,7069409
4239659,733560.3612448897,530671.449366525,302343.4942113295,103445.18746880491
4261521,37045,22810,11804,2862
4276821,14989251,7123482,5196099,3557422
4327198,31992.511,16070.924,428.132,88.44
4349995,78114,37928,12515,3184
4401941,1901979,1243336,933013,701887
4403916,857210.7083387229,643340.54289111,481080.1301669453,366461.3257146973
4416726,2554741,1963896,1352013,907957
4420334,9177564,5861307,3988671,1894040
4424169,1734901,1170896,708411,455802
4426783,1263963,944285,653560,458605
4565554,333615,124456,52158,10097
4641918,1775067.345405879,1166827.2221098326,765133.8458330417,550769.5780137813
4770121,5000734,3120893,2131265,1029892
4810409,10249.415,5180.63,2508.645,1618.076
4810724,1696911,1082571,820222,625486
4810896,1233.511,775.302,306.392,90.035
4811056,89811.24,59321.752,28107.223,1088.428
4811197,3214.7319887160584,1214.7813957611713,555.250938849675,108.91646068966594
4811521,235133,175513,134030,45605
4811591,34874.283,24092.787,4345.603,228.426
4811695,285504,198962,99770,75442
4811760,393408.5454800061,288452.44222154573,53912.29699841286,9199.657928386509
4811954,8511,5640,1675,930
4812067,86672.425,64989.842,45842.845,24143.919
4812756,426454,258215,154079.692,80942.625
4812813,21144.947960781978,7131.334983049036,5058.952792167478,2835.1221463541347
4913670,782524,593036,303922,163440
4977885,452699,238718,180364,121622
4978093,1010600,771600,443800,245300
4989077,808.372,520.645,62.732,38.919
4994908,2083894,1511406,1113859,793639
4996395,9330.971,5377.273,1350.941,498.531
4999273,65483,37756,11710.142,7739.91
5000790,9608,1991,1501,564
5001439,377935,255702,192172,102454.69327098885
5013726,441540,241623,93459,30262
5031604,51292,39295,22469,13036
5109836,84693,45873,31129,21197
5174695,2167771,1616952,1090946,673100
5176861,332069,219788,137039,94085
5181255,139927,89077,49005,22593
5214991,29431,18511,12398,8401
5239538,283220.442,144502.351,93203.532,64702.018
5242080,748024,531109,369495,250772
5244284,971995,729695,519029,308150
5250653,25182,16030,8592,5451.192
5255493,25188,12672,5498,2102
5255986,266274,202085,148616,99673
5263639,821461,621154,422179,204799
5264620,344636,259691,195015,145833
5265242,103527,77980,49033,7312
5267913,224498,136191,75014,34473
5277128,314013,235491,173514,119134
5293460,759249,579906,424336,252653
5297753,1249199,937385,652545,428345
5302933,130126,77428,23638,3154
5303886,937464,698099,472748,290640
5309396,46724.287,13560.498,9988.728,1164.84
5311902,125595,93105,55550,14612
5321096,16763.545,5692.056,2032.916,225.749
5321237,6060530,4316363,2708211,1833559
5326808,54749516.56517936,34995275.29652969,19432424.882797416,14565494.800625104
5328081,782118,557723,388832,259751
6319660,8688,4089,2048,1551
6459368,24167,9053,4409,2772
6867615,46028,34933,19920,14294
6910410,43073,22042,11131,2099
7106242,1788179,1176891,593312,251913
7389138,372100,209700,119700,91200
8251154,516653.1228799274,333895.2127255306,111228.12704580389,5706.991010360339
8435281,1281015,965776,739012,497876
9098887,1476514,872000,526916,271878
9956217,5513233,3706833,1839417,850036
10976234,458056.8809119203,324427.440618677,146410.98317194098,52166.32144092072
13087393,256825,160953,54588,22214
13373011,336888,186374,77062,19138
13597615,3490220,780136,54567,39437
14887727,5435838.878402682,4175478.49583683,2760928.2585133277,2074870.0138809024
17514167,38138,27557,19474,638
19095891,5380,962,681,323
19098526,1264639,689158,381756,121681
19243702,3964,3033,665,387
19659800,4767699,3665393,2240461,1296025
19871451,96198.101,51997.642,28082.009,10080.519058616534
25283066,119425,60505,20274,11798
27682584,2501.66,1120.622,601.131,315.292
27875239,752764,569946,409049,245274
28743844,23199.434,5685.987,475.175,8.843
29331846,10553072.648978591,7302145.442610411,4747970.851872136,1011991.3913939506
29657689,2633873.067963967,1995690.0600764647,1280885.9126989795,792703.4493446487
100420749,924349,679008,9557,3687
101570773,463330,284106.012,198198.774,103043.585
105643522,45232.004869191165,13814.601639679171,2755.5856591488646,845.8262660665237
107089758,111923.786,66401.451,44713.552,1199.986
108129648,151908.691,115605.536,88095.418,63414.783
110336920,40065.17356180362,16180.274511913636,319.80885926474485,75.41104481708973
113495488,99.79,35.21,15.642,7.41
123916273,456601.5082569888,289011.8196884386,126552.72958968706,59756.86101235831
