SP_ENTITY_ID,SP_SECURITY_ID,SP_CIQ_ID,SPT_INSTRUMENT_ITEM_ID,SP_TRADING_ITEM_ID
4021980,IQ35572,IQ35572,SPT532607422,532607422
4092847,IQ5546852,IQ5546852,SPT9917931,9917931
4142027,IQ885779,IQ885779,SPT2656701,2656701
4153733,IQ912997,IQ912997,SPT34058548,34058548
4160258,IQ34322384,IQ34322384,SPT36242761,36242761
4239659,IQ374847,IQ374847,SPT2619853,2619853
4261521,IQ49439457,IQ49439457,SPT1777517936,1777517936
4276821,IQ6479558,IQ6479558,SPT33611679,33611679
4327198,IQ104428055,IQ104428055,SPT108724968,108724968
4349995,IQ880431,IQ880431,SPT141549170,141549170
4401941,IQ362584,IQ362584,SPT2586473,2586473
4403916,IQ98507226,IQ98507226,SPT1787656390,1787656390
4416726,IQ225523981,IQ225523981,SPT295918329,295918329
4420334,IQ246247134,IQ246247134,SPT704022864,704022864
4424169,IQ253706543,IQ253706543,SPT1800445970,1800445970
4426783,IQ142458416,IQ142458416,SPT1679898555,1679898555
4565554,IQ58915635,IQ58915635,SPT265816532,265816532
4641918,IQ202307377,IQ202307377,SPT1673444982,1673444982
4770121,IQ323581924,IQ323581924,SPT331241422,331241422
4810409,IQ35230943,IQ35230943,SPT241616054,241616054
4810724,IQ27603970,IQ27603970,SPT302847937,302847937
4810896,IQ113678246,IQ113678246,SPT141646876,141646876
4811056,IQ51146962,IQ51146962,SPT61244628,61244628
4811197,IQ7687411,IQ7687411,SPT52056777,52056777
4811521,IQ882669,IQ882669,SPT213739596,213739596
4811591,IQ78729055,IQ78729055,SPT82312364,82312364
4811695,IQ9282918,IQ9282918,SPT10976629,10976629
4811760,IQ39510693,IQ39510693,SPT282866005,282866005
4811954,IQ3274115,IQ3274115,SPT37954888,37954888
4812067,IQ944412,IQ944412,SPT45833105,45833105
4812756,IQ51119246,IQ51119246,SPT248498842,248498842
4812813,IQ224193775,IQ224193775,SPT265497025,265497025
4913670,IQ109916200,IQ109916200,SPT111581155,111581155
4977885,IQ3044099,IQ3044099,SPT207420139,207420139
4978093,IQ412495516,IQ412495516,SPT626086674,626086674
4989077,IQ6233553,IQ6233553,SPT33364513,33364513
4994908,IQ33026309,IQ33026309,SPT114898582,114898582
4996395,IQ3175944,IQ3175944,SPT52412312,52412312
4999273,IQ250531253,IQ250531253,SPT24822136,24822136
5000790,IQ294780,IQ294780,SPT5793674,5793674
5001439,IQ20359014,IQ20359014,SPT632745514,632745514
5013726,IQ429233,IQ429233,SPT609683425,609683425
5031604,IQ1380491,IQ1380491,SPT718936088,718936088
5109836,IQ28748353,IQ28748353,SPT1772667799,1772667799
5174695,IQ58838228,IQ58838228,SPT553393970,553393970
5176861,IQ60295846,IQ60295846,SPT626257536,626257536
5181255,IQ62603649,IQ62603649,SPT1673698000,1673698000
5214991,IQ119056665,IQ119056665,SPT1846145546,1846145546
5239538,IQ426696553,IQ426696553,SPT572924141,572924141
5242080,IQ210235568,IQ210235568,SPT1674687749,1674687749
5244284,IQ214992529,IQ214992529,SPT715345182,715345182
5250653,IQ224595724,IQ224595724,SPT569995164,569995164
5255493,IQ228618557,IQ228618557,SPT665051657,665051657
5255986,IQ229087176,IQ229087176,SPT549161099,549161099
5263639,IQ243722644,IQ243722644,SPT717077170,717077170
5264620,IQ244520896,IQ244520896,SPT1813956101,1813956101
5265242,IQ245181897,IQ245181897,SPT1875279607,1875279607
5267913,IQ248398889,IQ248398889,SPT1675748914,1675748914
