SP_ENTITY_ID,CompanyName
4811954,Evogene Ltd. (TASE:EVGN)
5265242,Gauzy Ltd. (NASDAQGM:GAUZ)
4153733,"Ocean Power Technologies, Inc. (NYSEAM:OPTT)"
5264620,Grindr Inc. (NYSE:GRND)
4424169,FTAI Aviation Ltd. (NASDAQGS:FTAI)
5321237,"agilon health, inc. (NYSE:AGL)"
4812067,Sanara MedTech Inc. (NASDAQCM:SMTI)
107089758,"Abacus Global Management, Inc. (NYSE:ABX)"
5031604,"CVRx, Inc. (NASDAQGS:CVRX)"
4327198,Sow Good Inc. (NASDAQCM:SOWG)
6459368,"Amprius Technologies, Inc. (NYSE:AMPX)"
5181255,"RxSight, Inc. (NASDAQGM:RXST)"
4810724,"Natera, Inc. (NASDAQGS:NTRA)"
4811760,Ascendis Pharma A/S (NASDAQGS:ASND)
4160258,"MercadoLibre, Inc. (NASDAQGS:MELI)"
4994908,Costamare Inc. (NYSE:CMRE)
4810896,VolitionRx Limited (NYSEAM:VNRX)
5328081,"ACM Research, Inc. (NASDAQGM:ACMR)"
4092847,"OptimumBank Holdings, Inc. (NYSEAM:OPHC)"
4420334,"Oscar Health, Inc. (NYSE:OSCR)"
5176861,"Castle Biosciences, Inc. (NASDAQGM:CSTL)"
5001439,Enlight Renewable Energy Ltd (TASE:ENLT)
14887727,Joint Stock Company Kaspi.kz (NASDAQGS:KSPI)
10976234,Global Blue Group Holding AG
29657689,On Holding AG (NYSE:ONON)
5326808,PDD Holdings Inc. (NASDAQGS:PDD)
5250653,"electroCore, Inc. (NASDAQCM:ECOR)"
19871451,"GameSquare Holdings, Inc. (NASDAQCM:GAME)"
4641918,Wise Group plc (LSE:WISE)
108129648,Ispire Technology Inc. (NASDAQCM:ISPR)
4913670,MakeMyTrip Limited (NASDAQGS:MMYT)
4021980,Tidewater Inc. (NYSE:TDW)
4239659,IRSA Inversiones y Representaciones Sociedad Anónima (BASE:IRSA)
4977885,"Aspen Aerogels, Inc. (NYSE:ASPN)"
5263639,"SentinelOne, Inc. (NYSE:S)"
4426783,"Remitly Global, Inc. (NASDAQGS:RELY)"
4996395,"Eva Live, Inc. (NASDAQCM:GOAI)"
4261521,NuScale Power Corporation (NYSE:SMR)
4810409,"Evoke Pharma, Inc."
4142027,"Axon Enterprise, Inc. (NASDAQGS:AXON)"
5293460,GitLab Inc. (NASDAQGS:GTLB)
19243702,Odysight.ai Inc. (NASDAQCM:ODYS)
5255986,"Evolus, Inc. (NASDAQGM:EOLS)"
4401941,"Sarepta Therapeutics, Inc. (NASDAQGS:SRPT)"
4770121,Permian Resources Corporation (NYSE:PR)
13597615,"Bakkt, Inc. (NYSE:BKKT)"
100420749,Lotus Technology Inc. (NASDAQGS:LOT)
101570773,BitFuFu Inc. (NASDAQCM:FUFU)
9098887,"Hims & Hers Health, Inc. (NYSE:HIMS)"
4811591,"Sunshine Biopharma, Inc. (NASDAQCM:SBFM)"
5214991,"TriSalus Life Sciences, Inc. (NASDAQGM:TLSI)"
4978093,Borr Drilling Limited (NYSE:BORR)
28743844,"PSQ Holdings, Inc. (NYSE:PSQH)"
4999273,NextPlat Corp (NASDAQCM:NXPL)
13087393,"EVgo, Inc. (NASDAQGS:EVGO)"
9956217,Nu Holdings Ltd. (NYSE:NU)
7106242,Symbotic Inc. (NASDAQGM:SYM)
5321096,Metalpha Technology Holding Limited (NASDAQCM:MATH)
29331846,ZEEKR Intelligent Technology Holding Limited
5277128,Nayax Ltd. (TASE:NYAX)
5302933,"Rhythm Pharmaceuticals, Inc. (NASDAQGM:RYTM)"
6867615,"Rekor Systems, Inc. (NASDAQCM:REKR)"
8435281,Dutch Bros Inc. (NYSE:BROS)
123916273,Yuanbao Inc. (NASDAQGM:YB)
4812813,ProQR Therapeutics N.V. (NASDAQCM:PRQR)
4989077,CitroTech Inc. (NYSEAM:CITR)
27682584,LQR House Inc. (NASDAQCM:YHC)
4811056,"Vivakor, Inc. (NASDAQCM:VIVK)"
5013726,"TransMedics Group, Inc. (NASDAQGM:TMDX)"
19098526,The Real Brokerage Inc. (NASDAQCM:REAX)
5267913,PROCEPT BioRobotics Corporation (NASDAQGM:PRCT)
27875239,Global-E Online Ltd. (NASDAQGS:GLBE)
25283066,Surf Air Mobility Inc. (NYSE:SRFM)
6910410,"IonQ, Inc. (NYSE:IONQ)"
4403916,"Inter & Co, Inc. (NASDAQGS:INTR)"
4565554,"Ardelyx, Inc. (NASDAQGM:ARDX)"
4276821,"Super Micro Computer, Inc. (NASDAQGS:SMCI)"
17514167,Local Bounti Corporation (NYSE:LOCL)
5109836,"SoundHound AI, Inc. (NASDAQGM:SOUN)"
5239538,iQSTEL Inc. (NASDAQCM:IQST)
13373011,"Mirum Pharmaceuticals, Inc. (NASDAQGM:MIRM)"
19095891,Interactive Strength Inc. (NASDAQCM:TRNR)
4349995,Energy Fuels Inc. (TSX:EFR)
5311902,"GRAIL, Inc. (NASDAQGS:GRAL)"
5297753,Samsara Inc. (NYSE:IOT)
5309396,"Roadzen, Inc. (NASDAQGM:RDZN)"
6319660,"NEXGEL, Inc. (NASDAQCM:NXGL)"
5303886,"Klaviyo, Inc. (NYSE:KVYO)"
4811197,Immuron Limited (ASX:IMC)
5255493,BioHarvest Sciences Inc. (NASDAQGM:BHST)
110336920,Murano Global Investments Plc (NASDAQCM:MRNO)
5174695,"Zscaler, Inc. (NASDAQGS:ZS)"
113495488,"Brand Engagement Network, Inc. (NASDAQCM:BNAI)"
4811695,MannKind Corporation (NASDAQGM:MNKD)
4811521,Aurinia Pharmaceuticals Inc. (NASDAQGM:AUPH)
19659800,DraftKings Inc. (NASDAQGS:DKNG)
4416726,"Evolent Health, Inc. (NYSE:EVH)"
5244284,monday.com Ltd. (NASDAQGS:MNDY)
105643522,NaaS Technology Inc. (NASDAQCM:NAAS)
8251154,Telix Pharmaceuticals Limited (ASX:TLX)
4812756,"ADMA Biologics, Inc. (NASDAQGM:ADMA)"
5000790,Cadiz Inc. (NASDAQGM:CDZI)
5242080,"Duolingo, Inc. (NASDAQGS:DUOL)"
7389138,Hippo Holdings Inc. (NYSE:HIPO)
