SP_ENTITY_ID,CompanyName,CompanyType,CompanyStatus,LFY,FY-1,FY-2,FY-3,company_type_pass,company_status_pass,growth_lfy_fy1_pass,growth_fy1_fy2_pass,growth_fy2_fy3_pass,screen_pass
4021980,Tidewater Inc. (NYSE:TDW),Public Company,Operating,1345835.0,1009985.0,647684.0,371033.0,True,True,True,True,True,True
4092847,"OptimumBank Holdings, Inc. (NYSEAM:OPHC)",Public Company,Operating,37091.0,23118.0,15330.0,10005.0,True,True,True,True,True,True
4142027,"Axon Enterprise, Inc. (NASDAQGS:AXON)",Public Company,Operating,2082526.0,1563391.0,1189935.0,863381.0,True,True,True,True,True,True
4153733,"Ocean Power Technologies, Inc. (NYSEAM:OPTT)",Public Company,Operating,5525.0,2732.0,1759.0,1206.0,True,True,True,True,True,True
4160258,"MercadoLibre, Inc. (NASDAQGS:MELI)",Public Company,Operating,20777000.0,14473000.0,10537000.0,7069409.0,True,True,True,True,True,True
4239659,IRSA Inversiones y Representaciones Sociedad Anónima (BASE:IRSA),Public Company,Operating,733560.3612448897,530671.449366525,302343.4942113295,103445.18746880491,True,True,True,True,True,True
4261521,NuScale Power Corporation (NYSE:SMR),Public Company,Operating,37045.0,22810.0,11804.0,2862.0,True,True,True,True,True,True
4276821,"Super Micro Computer, Inc. (NASDAQGS:SMCI)",Public Company,Operating,14989251.0,7123482.0,5196099.0,3557422.0,True,True,True,True,True,True
4327198,Sow Good Inc. (NASDAQCM:SOWG),Public Company,Operating,31992.511,16070.924,428.132,88.44,True,True,True,True,True,True
4349995,Energy Fuels Inc. (TSX:EFR),Public Company,Operating,78114.0,37928.0,12515.0,3184.0,True,True,True,True,True,True
4401941,"Sarepta Therapeutics, Inc. (NASDAQGS:SRPT)",Public Company,Operating,1901979.0,1243336.0,933013.0,701887.0,True,True,True,True,True,True
4403916,"Inter & Co, Inc. (NASDAQGS:INTR)",Public Company,Operating,857210.7083387229,643340.54289111,481080.1301669453,366461.3257146973,True,True,True,True,True,True
4416726,"Evolent Health, Inc. (NYSE:EVH)",Public Company,Operating,2554741.0,1963896.0,1352013.0,907957.0,True,True,True,True,True,True
4420334,"Oscar Health, Inc. (NYSE:OSCR)",Public Company,Operating,9177564.0,5861307.0,3988671.0,1894040.0,True,True,True,True,True,True
4424169,FTAI Aviation Ltd. (NASDAQGS:FTAI),Public Company,Operating,1734901.0,1170896.0,708411.0,455802.0,True,True,True,True,True,True
4426783,"Remitly Global, Inc. (NASDAQGS:RELY)",Public Company,Operating,1263963.0,944285.0,653560.0,458605.0,True,True,True,True,True,True
4565554,"Ardelyx, Inc. (NASDAQGM:ARDX)",Public Company,Operating,333615.0,124456.0,52158.0,10097.0,True,True,True,True,True,True
4641918,Wise Group plc (LSE:WISE),Public Company,Operating,1775067.345405879,1166827.2221098326,765133.8458330417,550769.5780137813,True,True,True,True,True,True
4770121,Permian Resources Corporation (NYSE:PR),Public Company,Operating,5000734.0,3120893.0,2131265.0,1029892.0,True,True,True,True,True,True
4810409,"Evoke Pharma, Inc.",Public Company,Operating,10249.415,5180.63,2508.645,1618.076,True,True,True,True,True,True
4810724,"Natera, Inc. (NASDAQGS:NTRA)",Public Company,Operating,1696911.0,1082571.0,820222.0,625486.0,True,True,True,True,True,True
4810896,VolitionRx Limited (NYSEAM:VNRX),Public Company,Operating,1233.511,775.302,306.392,90.035,True,True,True,True,True,True
4811056,"Vivakor, Inc. (NASDAQCM:VIVK)",Public Company,Operating,89811.24,59321.752,28107.223,1088.428,True,True,True,True,True,True
4811197,Immuron Limited (ASX:IMC),Public Company,Operating,3214.7319887160584,1214.781395761171,555.250938849675,108.91646068966594,True,True,True,True,True,True
4811521,Aurinia Pharmaceuticals Inc. (NASDAQGM:AUPH),Public Company,Operating,235133.0,175513.0,134030.0,45605.0,True,True,True,True,True,True
4811591,"Sunshine Biopharma, Inc. (NASDAQCM:SBFM)",Public Company,Operating,34874.283,24092.787,4345.603,228.426,True,True,True,True,True,True
4811695,MannKind Corporation (NASDAQGM:MNKD),Public Company,Operating,285504.0,198962.0,99770.0,75442.0,True,True,True,True,True,True
4811760,Ascendis Pharma A/S (NASDAQGS:ASND),Public Company,Operating,393408.5454800061,288452.44222154573,53912.29699841286,9199.657928386509,True,True,True,True,True,True
4811954,Evogene Ltd. (TASE:EVGN),Public Company,Operating,8511.0,5640.0,1675.0,930.0,True,True,True,True,True,True
4812067,Sanara MedTech Inc. (NASDAQCM:SMTI),Public Company,Operating,86672.425,64989.842,45842.845,24143.919,True,True,True,True,True,True
4812756,"ADMA Biologics, Inc. (NASDAQGM:ADMA)",Public Company,Operating,426454.0,258215.0,154079.692,80942.625,True,True,True,True,True,True
4812813,ProQR Therapeutics N.V. (NASDAQCM:PRQR),Public Company,Operating,21144.947960781978,7131.334983049036,5058.952792167478,2835.1221463541347,True,True,True,True,True,True
4913670,MakeMyTrip Limited (NASDAQGS:MMYT),Public Company,Operating,782524.0,593036.0,303922.0,163440.0,True,True,True,True,True,True
4977885,"Aspen Aerogels, Inc. (NYSE:ASPN)",Public Company,Operating,452699.0,238718.0,180364.0,121622.0,True,True,True,True,True,True
4978093,Borr Drilling Limited (NYSE:BORR),Public Company,Operating,1010600.0,771600.0,443800.0,245300.0,True,True,True,True,True,True
