SP_ENTITY_ID,CompanyName
4094286,NVIDIA Corporation (NASDAQGS:NVDA)
4142027,"Axon Enterprise, Inc. (NASDAQGS:AXON)"
4160258,"MercadoLibre, Inc. (NASDAQGS:MELI)"
4199629,AGNC Investment Corp. (NASDAQGS:AGNC)
4205752,StepStone Group Inc. (NASDAQGS:STEP)
4209142,Invesco Mortgage Capital Inc. (NYSE:IVR)
4238544,"ARMOUR Residential REIT, Inc. (NYSE:ARR)"
4276821,"Super Micro Computer, Inc. (NASDAQGS:SMCI)"
4282769,"Bitmine Immersion Technologies, Inc. (NYSE:BMNR)"
4287903,"Orchid Island Capital, Inc. (NYSE:ORC)"
4304239,Better Home & Finance Holding Company (NASDAQGM:BETR)
4318095,"Agios Pharmaceuticals, Inc. (NASDAQGS:AGIO)"
4352761,"Idaho Strategic Resources, Inc. (NYSEAM:IDR)"
4356306,"MARA Holdings, Inc. (NASDAQCM:MARA)"
4424169,FTAI Aviation Ltd. (NASDAQGS:FTAI)
4580570,"Robinhood Markets, Inc. (NASDAQGS:HOOD)"
4810358,"Lexicon Pharmaceuticals, Inc. (NASDAQCM:LXRX)"
4810724,"Natera, Inc. (NASDAQGS:NTRA)"
4810824,BeOne Medicines AG (NASDAQGS:ONC)
4810896,VolitionRx Limited (NYSEAM:VNRX)
4811105,"Harrow, Inc. (NASDAQGM:HROW)"
4811117,"Travere Therapeutics, Inc. (NASDAQGM:TVTX)"
4811532,"TG Therapeutics, Inc. (NASDAQCM:TGTX)"
4811624,"Axsome Therapeutics, Inc. (NASDAQGM:AXSM)"
4811760,Ascendis Pharma A/S (NASDAQGS:ASND)
4865862,Bicycle Therapeutics plc (NASDAQGS:BCYC)
4898489,"AnaptysBio, Inc. (NASDAQGS:ANAB)"
4913427,New Oriental Education & Technology Group Inc. (NYSE:EDU)
4913803,TAL Education Group (NYSE:TAL)
4913901,Worksport Ltd. (NASDAQCM:WKSP)
4913905,51Talk Online Education Group (NYSEAM:COE)
4972261,ClearSign Technologies Corporation (NASDAQCM:CLIR)
4972296,Abits Group Inc. (NASDAQCM:ABTS)
4972860,Atlassian Corporation (NASDAQGS:TEAM)
4988279,"TSS, Inc. (NASDAQCM:TSSI)"
4989077,CitroTech Inc. (NYSEAM:CITR)
4991374,American Superconductor Corporation (NASDAQGS:AMSC)
4992232,Applied Digital Corporation (NASDAQGS:APLD)
4995890,TON Strategy Company (NASDAQCM:TONX)
4996395,"Eva Live, Inc. (NASDAQCM:GOAI)"
5000790,Cadiz Inc. (NASDAQGM:CDZI)
5013726,"TransMedics Group, Inc. (NASDAQGM:TMDX)"
5109836,"SoundHound AI, Inc. (NASDAQGM:SOUN)"
5131475,"Intapp, Inc. (NASDAQGS:INTA)"
5214991,"TriSalus Life Sciences, Inc. (NASDAQGM:TLSI)"
5231291,"Omada Health, Inc. (NASDAQGS:OMDA)"
5242080,"Duolingo, Inc. (NASDAQGS:DUOL)"
5255493,BioHarvest Sciences Inc. (NASDAQGM:BHST)
5265242,Gauzy Ltd. (NASDAQGM:GAUZ)
5267913,PROCEPT BioRobotics Corporation (NASDAQGM:PRCT)
5298533,"ImmunityBio, Inc. (NASDAQGS:IBRX)"
5302933,"Rhythm Pharmaceuticals, Inc. (NASDAQGM:RYTM)"
5303886,"Klaviyo, Inc. (NYSE:KVYO)"
5316615,"Beta Bionics, Inc. (NASDAQGM:BBNX)"
5321096,Metalpha Technology Holding Limited (NASDAQCM:MATH)
5990414,"Cue Biopharma, Inc. (NASDAQCM:CUE)"
6319660,"NEXGEL, Inc. (NASDAQCM:NXGL)"
6459368,"Amprius Technologies, Inc. (NYSE:AMPX)"
6544540,"Evolv Technologies Holdings, Inc. (NASDAQCM:EVLV)"
6910410,"IonQ, Inc. (NYSE:IONQ)"
6963342,"Tempus AI, Inc. (NASDAQGS:TEM)"
7001816,"CeriBell, Inc. (NASDAQGS:CBLL)"
7727865,"Kestra Medical Technologies, Ltd. (NASDAQGS:KMTS)"
8241746,Royalty Management Holding Corporation (NASDAQCM:RMCO)
9098887,"Hims & Hers Health, Inc. (NYSE:HIMS)"
9176842,"Ouster, Inc. (NASDAQGS:OUST)"
9370215,Cerebras Systems Inc. (NASDAQGS:CBRS)
9768877,"Arcutis Biotherapeutics, Inc. (NASDAQGS:ARQT)"
10088110,Legend Biotech Corporation (NASDAQGS:LEGN)
10461017,"Astera Labs, Inc. (NASDAQGS:ALAB)"
10844958,"Cyabra, Inc. (NASDAQGM:CYAB)"
11916855,Pattern Group Inc. (NASDAQGS:PTRN)
13087393,"EVgo, Inc. (NASDAQGS:EVGO)"
13373011,"Mirum Pharmaceuticals, Inc. (NASDAQGM:MIRM)"
13457382,Perpetuals.com Ltd (NASDAQCM:PDC)
14338380,"Bonk, Inc. (NASDAQCM:BNKK)"
14399568,"CoreWeave, Inc. (NASDAQGS:CRWV)"
14887727,Joint Stock Company Kaspi.kz (NASDAQGS:KSPI)
19095891,Interactive Strength Inc. (NASDAQCM:TRNR)
19098526,The Real Brokerage Inc. (NASDAQCM:REAX)
20304639,"SOBR Safe, Inc. (NASDAQCM:SOBR)"
20676534,"Lucyd, Inc (NASDAQCM:LUCY)"
25812177,"Onfolio Holdings, Inc. (NASDAQCM:ONFO)"
