date,ticker,permno,lifecycle_action,buy_sell,event_weight,event_target_weight,softmax_v1_target_weight,softmax_v1_cash_residual,softmax_v1_gross_weight,sizing_eligible,eligibility_reason,factor_positive_count,factor_present_count,technical_quality,score,hold_days,source
2025-01-06,AMZN,84788,BUY,BUY,0.1,0.1,0.1,0.9,0.1,True,eligible_buy_or_hold,3,4,1.0,0.25,0,rule100_softmax_v1_history
2025-01-07,AMZN,84788,HOLD,,0.1,0.1,0.1,0.9,0.1,True,eligible_buy_or_hold,3,4,1.0,0.25,1,rule100_softmax_v1_history
2025-01-08,AMZN,84788,HOLD,,0.1,0.1,0.1,0.9,0.1,True,eligible_buy_or_hold,3,4,1.0,0.25,2,rule100_softmax_v1_history
2025-01-10,AMZN,84788,HOLD,,0.1,0.1,0.1,0.8,0.2,True,eligible_buy_or_hold,3,4,1.0,0.25,4,rule100_softmax_v1_history
2025-01-10,TSM,85442,BUY,BUY,0.1,0.1,0.1,0.8,0.2,True,eligible_buy_or_hold,3,4,1.0,0.25,0,rule100_softmax_v1_history
2025-01-13,AMZN,84788,HOLD,,0.1,0.1,0.1,0.8,0.2,True,eligible_buy_or_hold,3,4,1.0,0.25,7,rule100_softmax_v1_history
2025-01-13,TSM,85442,HOLD,,0.1,0.1,0.1,0.8,0.2,True,eligible_buy_or_hold,3,4,1.0,0.25,3,rule100_softmax_v1_history
2025-01-14,AMZN,84788,HOLD,,0.1,0.1,0.1,0.8,0.2,True,eligible_buy_or_hold,3,4,1.0,0.25,8,rule100_softmax_v1_history
2025-01-14,TSM,85442,HOLD,,0.1,0.1,0.1,0.8,0.2,True,eligible_buy_or_hold,3,4,1.0,0.25,4,rule100_softmax_v1_history
2025-01-15,AMZN,84788,HOLD,,0.1,0.1,0.1,0.8,0.2,True,eligible_buy_or_hold,3,4,1.0,0.25,9,rule100_softmax_v1_history
2025-01-15,TSM,85442,HOLD,,0.1,0.1,0.1,0.8,0.2,True,eligible_buy_or_hold,3,4,1.0,0.25,5,rule100_softmax_v1_history
2025-01-16,AMZN,84788,HOLD,,0.1,0.1,0.1,0.9,0.1,True,eligible_buy_or_hold,3,4,1.0,0.25,10,rule100_softmax_v1_history
2025-01-16,TSM,85442,TIGHTEN,,0.1,0.1,0.0,0.9,0.1,False,tighten_below_hold_threshold,0,1,0.18374000000000001,0.045935000000000004,6,rule100_softmax_v1_history
2025-01-17,AMZN,84788,HOLD,,0.1,0.1,0.1,0.8,0.2,True,eligible_buy_or_hold,3,4,1.0,0.25,11,rule100_softmax_v1_history
2025-01-17,TSM,85442,HOLD,,0.1,0.1,0.1,0.8,0.2,True,eligible_buy_or_hold,3,4,1.0,0.25,7,rule100_softmax_v1_history
2025-01-21,AMZN,84788,HOLD,,0.1,0.1,0.1,0.8,0.2,True,eligible_buy_or_hold,3,4,1.0,0.25,15,rule100_softmax_v1_history
2025-01-21,TSM,85442,HOLD,,0.1,0.1,0.1,0.8,0.2,True,eligible_buy_or_hold,3,4,1.0,0.25,11,rule100_softmax_v1_history
2025-01-22,AMZN,84788,HOLD,,0.1,0.1,0.1,0.8,0.2,True,eligible_buy_or_hold,3,4,1.0,0.25,16,rule100_softmax_v1_history
2025-01-22,TSM,85442,HOLD,,0.1,0.1,0.1,0.8,0.2,True,eligible_buy_or_hold,3,4,1.0,0.25,12,rule100_softmax_v1_history
2025-01-23,AMZN,84788,HOLD,,0.1,0.1,0.1,0.8,0.2,True,eligible_buy_or_hold,3,4,1.0,0.25,17,rule100_softmax_v1_history
2025-01-23,TSM,85442,HOLD,,0.1,0.1,0.1,0.8,0.2,True,eligible_buy_or_hold,3,4,1.0,0.25,13,rule100_softmax_v1_history
2025-01-24,AMZN,84788,HOLD,,0.1,0.1,0.1,0.8,0.2,True,eligible_buy_or_hold,3,4,1.0,0.25,18,rule100_softmax_v1_history
2025-01-24,TSM,85442,HOLD,,0.1,0.1,0.1,0.8,0.2,True,eligible_buy_or_hold,3,4,1.0,0.25,14,rule100_softmax_v1_history
2025-01-27,AMZN,84788,HOLD,,0.1,0.1,0.1,0.8,0.2,True,eligible_buy_or_hold,3,4,1.0,0.25,21,rule100_softmax_v1_history
2025-01-27,TSM,85442,HOLD,,0.1,0.1,0.1,0.8,0.2,True,eligible_buy_or_hold,3,4,1.0,0.25,17,rule100_softmax_v1_history
2025-01-28,AMZN,84788,HOLD,,0.1,0.1,0.1,0.8,0.2,True,eligible_buy_or_hold,3,4,1.0,0.25,22,rule100_softmax_v1_history
2025-01-28,TSM,85442,HOLD,,0.1,0.1,0.1,0.8,0.2,True,eligible_buy_or_hold,3,4,1.0,0.25,18,rule100_softmax_v1_history
2025-01-29,AMZN,84788,HOLD,,0.1,0.1,0.1,0.8,0.2,True,eligible_buy_or_hold,3,4,1.0,0.25,23,rule100_softmax_v1_history
2025-01-29,TSM,85442,HOLD,,0.1,0.1,0.1,0.8,0.2,True,eligible_buy_or_hold,3,4,1.0,0.25,19,rule100_softmax_v1_history
2025-01-30,AMZN,84788,HOLD,,0.1,0.1,0.1,0.8,0.2,True,eligible_buy_or_hold,2,4,1.0,0.25,24,rule100_softmax_v1_history
2025-01-30,TSM,85442,HOLD,,0.1,0.1,0.1,0.8,0.2,True,eligible_buy_or_hold,3,4,1.0,0.25,20,rule100_softmax_v1_history
2025-01-31,AMZN,84788,HOLD,,0.1,0.1,0.1,0.8,0.2,True,eligible_buy_or_hold,2,4,1.0,0.25,25,rule100_softmax_v1_history
2025-01-31,TSM,85442,HOLD,,0.1,0.1,0.1,0.8,0.2,True,eligible_buy_or_hold,3,4,1.0,0.25,21,rule100_softmax_v1_history
2025-02-03,AMZN,84788,HOLD,,0.1,0.1,0.1,0.7,0.30000000000000004,True,eligible_buy_or_hold,2,4,1.0,0.25,28,rule100_softmax_v1_history
2025-02-03,TSLA,93436,BUY,BUY,0.1,0.1,0.1,0.7,0.30000000000000004,True,eligible_buy_or_hold,3,4,1.0,0.25,0,rule100_softmax_v1_history
2025-02-03,TSM,85442,HOLD,,0.1,0.1,0.1,0.7,0.30000000000000004,True,eligible_buy_or_hold,3,4,1.0,0.25,24,rule100_softmax_v1_history
2025-02-04,AMZN,84788,HOLD,,0.1,0.1,0.1,0.7,0.30000000000000004,True,eligible_buy_or_hold,3,4,1.0,0.25,29,rule100_softmax_v1_history
2025-02-04,TSLA,93436,HOLD,,0.1,0.1,0.1,0.7,0.30000000000000004,True,eligible_buy_or_hold,3,4,1.0,0.25,1,rule100_softmax_v1_history
2025-02-04,TSM,85442,HOLD,,0.1,0.1,0.1,0.7,0.30000000000000004,True,eligible_buy_or_hold,3,4,1.0,0.25,25,rule100_softmax_v1_history
2025-02-05,AMZN,84788,HOLD,,0.1,0.1,0.1,0.7,0.30000000000000004,True,eligible_buy_or_hold,2,4,1.0,0.25,30,rule100_softmax_v1_history
2025-02-05,TSLA,93436,HOLD,,0.1,0.1,0.1,0.7,0.30000000000000004,True,eligible_buy_or_hold,3,4,1.0,0.25,2,rule100_softmax_v1_history
2025-02-05,TSM,85442,HOLD,,0.1,0.1,0.1,0.7,0.30000000000000004,True,eligible_buy_or_hold,3,4,1.0,0.25,26,rule100_softmax_v1_history
2025-02-06,AMZN,84788,TIGHTEN,,0.1,0.1,0.0,0.8,0.2,False,tighten_below_hold_threshold,0,1,0.32508000000000004,0.08127000000000001,31,rule100_softmax_v1_history
2025-02-06,TSLA,93436,HOLD,,0.1,0.1,0.1,0.8,0.2,True,eligible_buy_or_hold,3,4,1.0,0.25,3,rule100_softmax_v1_history
2025-02-06,TSM,85442,HOLD,,0.1,0.1,0.1,0.8,0.2,True,eligible_buy_or_hold,2,4,1.0,0.25,27,rule100_softmax_v1_history
2025-02-07,AMZN,84788,HOLD,,0.1,0.1,0.1,0.7,0.30000000000000004,True,eligible_buy_or_hold,3,4,1.0,0.25,32,rule100_softmax_v1_history
2025-02-07,TSLA,93436,HOLD,,0.1,0.1,0.1,0.7,0.30000000000000004,True,eligible_buy_or_hold,3,4,1.0,0.25,4,rule100_softmax_v1_history
2025-02-07,TSM,85442,HOLD,,0.1,0.1,0.1,0.7,0.30000000000000004,True,eligible_buy_or_hold,3,4,1.0,0.25,28,rule100_softmax_v1_history
2025-02-10,AMZN,84788,HOLD,,0.1,0.1,0.1,0.7,0.30000000000000004,True,eligible_buy_or_hold,3,4,1.0,0.25,35,rule100_softmax_v1_history
2025-02-10,TSLA,93436,HOLD,,0.1,0.1,0.1,0.7,0.30000000000000004,True,eligible_buy_or_hold,3,4,1.0,0.25,7,rule100_softmax_v1_history
2025-02-10,TSM,85442,HOLD,,0.1,0.1,0.1,0.7,0.30000000000000004,True,eligible_buy_or_hold,3,4,1.0,0.25,31,rule100_softmax_v1_history
2025-02-11,AMZN,84788,HOLD,,0.1,0.1,0.1,0.7,0.30000000000000004,True,eligible_buy_or_hold,3,4,1.0,0.25,36,rule100_softmax_v1_history
2025-02-11,TSLA,93436,HOLD,,0.1,0.1,0.1,0.7,0.30000000000000004,True,eligible_buy_or_hold,3,4,1.0,0.25,8,rule100_softmax_v1_history
2025-02-11,TSM,85442,HOLD,,0.1,0.1,0.1,0.7,0.30000000000000004,True,eligible_buy_or_hold,3,4,1.0,0.25,32,rule100_softmax_v1_history
2025-02-12,AMZN,84788,HOLD,,0.1,0.1,0.1,0.7,0.30000000000000004,True,eligible_buy_or_hold,3,4,1.0,0.25,37,rule100_softmax_v1_history
2025-02-12,TSLA,93436,HOLD,,0.1,0.1,0.1,0.7,0.30000000000000004,True,eligible_buy_or_hold,3,4,1.0,0.25,9,rule100_softmax_v1_history
2025-02-12,TSM,85442,HOLD,,0.1,0.1,0.1,0.7,0.30000000000000004,True,eligible_buy_or_hold,3,4,1.0,0.25,33,rule100_softmax_v1_history
2025-02-13,AMZN,84788,HOLD,,0.1,0.1,0.1,0.7,0.30000000000000004,True,eligible_buy_or_hold,3,4,1.0,0.25,38,rule100_softmax_v1_history
2025-02-13,TSLA,93436,HOLD,,0.1,0.1,0.1,0.7,0.30000000000000004,True,eligible_buy_or_hold,3,4,1.0,0.25,10,rule100_softmax_v1_history
2025-02-13,TSM,85442,HOLD,,0.1,0.1,0.1,0.7,0.30000000000000004,True,eligible_buy_or_hold,3,4,1.0,0.25,34,rule100_softmax_v1_history
2025-02-14,AMZN,84788,HOLD,,0.1,0.1,0.1,0.7,0.30000000000000004,True,eligible_buy_or_hold,3,4,1.0,0.25,39,rule100_softmax_v1_history
2025-02-14,TSLA,93436,HOLD,,0.1,0.1,0.1,0.7,0.30000000000000004,True,eligible_buy_or_hold,3,4,1.0,0.25,11,rule100_softmax_v1_history
2025-02-14,TSM,85442,HOLD,,0.1,0.1,0.1,0.7,0.30000000000000004,True,eligible_buy_or_hold,3,4,1.0,0.25,35,rule100_softmax_v1_history
2025-02-18,AMZN,84788,HOLD,,0.1,0.1,0.1,0.7,0.30000000000000004,True,eligible_buy_or_hold,3,4,1.0,0.25,43,rule100_softmax_v1_history
2025-02-18,TSLA,93436,HOLD,,0.1,0.1,0.1,0.7,0.30000000000000004,True,eligible_buy_or_hold,3,4,1.0,0.25,15,rule100_softmax_v1_history
2025-02-18,TSM,85442,HOLD,,0.1,0.1,0.1,0.7,0.30000000000000004,True,eligible_buy_or_hold,3,4,1.0,0.25,39,rule100_softmax_v1_history
2025-02-19,AMZN,84788,HOLD,,0.1,0.1,0.1,0.7,0.30000000000000004,True,eligible_buy_or_hold,3,4,1.0,0.25,44,rule100_softmax_v1_history
2025-02-19,TSLA,93436,HOLD,,0.1,0.1,0.1,0.7,0.30000000000000004,True,eligible_buy_or_hold,3,4,1.0,0.25,16,rule100_softmax_v1_history
2025-02-19,TSM,85442,HOLD,,0.1,0.1,0.1,0.7,0.30000000000000004,True,eligible_buy_or_hold,3,4,1.0,0.25,40,rule100_softmax_v1_history
2025-02-20,AMZN,84788,HOLD,,0.1,0.1,0.1,0.7,0.30000000000000004,True,eligible_buy_or_hold,3,4,1.0,0.25,45,rule100_softmax_v1_history
2025-02-20,TSLA,93436,HOLD,,0.1,0.1,0.1,0.7,0.30000000000000004,True,eligible_buy_or_hold,3,4,1.0,0.25,17,rule100_softmax_v1_history
2025-02-20,TSM,85442,HOLD,,0.1,0.1,0.1,0.7,0.30000000000000004,True,eligible_buy_or_hold,3,4,1.0,0.25,41,rule100_softmax_v1_history
2025-02-21,AMZN,84788,HOLD,,0.1,0.1,0.1,0.7,0.30000000000000004,True,eligible_buy_or_hold,3,4,1.0,0.25,46,rule100_softmax_v1_history
2025-02-21,TSLA,93436,HOLD,,0.1,0.1,0.1,0.7,0.30000000000000004,True,eligible_buy_or_hold,3,4,1.0,0.25,18,rule100_softmax_v1_history
2025-02-21,TSM,85442,HOLD,,0.1,0.1,0.1,0.7,0.30000000000000004,True,eligible_buy_or_hold,3,4,1.0,0.25,42,rule100_softmax_v1_history
2025-02-24,AMZN,84788,HOLD,,0.1,0.1,0.1,0.7,0.30000000000000004,True,eligible_buy_or_hold,3,4,1.0,0.25,49,rule100_softmax_v1_history
2025-02-24,TSLA,93436,HOLD,,0.1,0.1,0.1,0.7,0.30000000000000004,True,eligible_buy_or_hold,3,4,1.0,0.25,21,rule100_softmax_v1_history
2025-02-24,TSM,85442,HOLD,,0.1,0.1,0.1,0.7,0.30000000000000004,True,eligible_buy_or_hold,3,4,1.0,0.25,45,rule100_softmax_v1_history
2025-02-25,AMZN,84788,HOLD,,0.1,0.1,0.1,0.7,0.30000000000000004,True,eligible_buy_or_hold,3,4,1.0,0.25,50,rule100_softmax_v1_history
2025-02-25,TSLA,93436,HOLD,,0.1,0.1,0.1,0.7,0.30000000000000004,True,eligible_buy_or_hold,3,4,1.0,0.25,22,rule100_softmax_v1_history
2025-02-25,TSM,85442,HOLD,,0.1,0.1,0.1,0.7,0.30000000000000004,True,eligible_buy_or_hold,3,4,1.0,0.25,46,rule100_softmax_v1_history
2025-02-26,AMZN,84788,HOLD,,0.1,0.1,0.1,0.7,0.30000000000000004,True,eligible_buy_or_hold,3,4,1.0,0.25,51,rule100_softmax_v1_history
2025-02-26,TSLA,93436,HOLD,,0.1,0.1,0.1,0.7,0.30000000000000004,True,eligible_buy_or_hold,3,4,1.0,0.25,23,rule100_softmax_v1_history
2025-02-26,TSM,85442,HOLD,,0.1,0.1,0.1,0.7,0.30000000000000004,True,eligible_buy_or_hold,3,4,1.0,0.25,47,rule100_softmax_v1_history
2025-02-27,AMZN,84788,HOLD,,0.1,0.1,0.1,0.8,0.2,True,eligible_buy_or_hold,3,4,1.0,0.25,52,rule100_softmax_v1_history
2025-02-27,TSLA,93436,HOLD,,0.1,0.1,0.1,0.8,0.2,True,eligible_buy_or_hold,3,4,1.0,0.25,24,rule100_softmax_v1_history
2025-02-27,TSM,85442,HOLD,,0.1,0.1,0.0,0.8,0.2,False,exit_or_trend_veto_block,3,4,0.0,0.0,48,rule100_softmax_v1_history
2025-02-28,AMZN,84788,HOLD,,0.1,0.1,0.1,0.8,0.2,True,eligible_buy_or_hold,3,4,1.0,0.25,53,rule100_softmax_v1_history
2025-02-28,TSLA,93436,HOLD,,0.1,0.1,0.1,0.8,0.2,True,eligible_buy_or_hold,3,4,1.0,0.25,25,rule100_softmax_v1_history
2025-02-28,TSM,85442,EXIT,SELL,0.0,0.0,0.0,0.8,0.2,False,flat_after_sell,3,4,0.0,,49,rule100_softmax_v1_history
2025-03-03,AMZN,84788,HOLD,,0.1,0.1,0.1,0.8,0.2,True,eligible_buy_or_hold,3,4,1.0,0.25,56,rule100_softmax_v1_history
2025-03-03,TSLA,93436,HOLD,,0.1,0.1,0.1,0.8,0.2,True,eligible_buy_or_hold,3,4,1.0,0.25,28,rule100_softmax_v1_history
2025-03-04,AMZN,84788,HOLD,,0.1,0.1,0.1,0.8,0.2,True,eligible_buy_or_hold,3,4,1.0,0.25,57,rule100_softmax_v1_history
2025-03-04,TSLA,93436,HOLD,,0.1,0.1,0.1,0.8,0.2,True,eligible_buy_or_hold,3,4,1.0,0.25,29,rule100_softmax_v1_history
2025-03-05,AMZN,84788,HOLD,,0.1,0.1,0.1,0.8,0.2,True,eligible_buy_or_hold,3,4,1.0,0.25,58,rule100_softmax_v1_history
2025-03-05,TSLA,93436,HOLD,,0.1,0.1,0.1,0.8,0.2,True,eligible_buy_or_hold,3,4,1.0,0.25,30,rule100_softmax_v1_history
2025-03-06,AMZN,84788,HOLD,,0.1,0.1,0.1,0.9,0.1,True,eligible_buy_or_hold,3,4,1.0,0.25,59,rule100_softmax_v1_history
2025-03-06,TSLA,93436,HOLD,,0.1,0.1,0.0,0.9,0.1,False,exit_or_trend_veto_block,3,4,0.0,0.0,31,rule100_softmax_v1_history
2025-03-07,AMZN,84788,HOLD,,0.1,0.1,0.0,1.0,0.0,False,exit_or_trend_veto_block,3,4,0.0,0.0,60,rule100_softmax_v1_history
2025-03-07,TSLA,93436,EXIT,SELL,0.0,0.0,0.0,1.0,0.0,False,flat_after_sell,3,4,0.0,,32,rule100_softmax_v1_history
2025-03-10,AMZN,84788,EXIT,SELL,0.0,0.0,0.0,1.0,0.0,False,flat_after_event,3,4,0.0,,63,rule100_softmax_v1_history
2025-03-26,AMZN,84788,BUY,BUY,0.1,0.1,0.1,0.9,0.1,True,eligible_buy_or_hold,3,4,1.0,0.25,0,rule100_softmax_v1_history
2025-03-27,AMZN,84788,HOLD,,0.1,0.1,0.1,0.9,0.1,True,eligible_buy_or_hold,3,4,1.0,0.25,1,rule100_softmax_v1_history
2025-03-28,AMZN,84788,HOLD,,0.1,0.1,0.0,1.0,0.0,False,exit_or_trend_veto_block,3,4,0.0,0.0,2,rule100_softmax_v1_history
2025-03-31,AMZN,84788,HOLD,,0.1,0.1,0.0,1.0,0.0,False,exit_or_trend_veto_block,3,4,0.0,0.0,5,rule100_softmax_v1_history
2025-04-01,AMZN,84788,HOLD,,0.1,0.1,0.0,1.0,0.0,False,exit_or_trend_veto_block,3,4,0.0,0.0,6,rule100_softmax_v1_history
2025-04-02,AMZN,84788,HOLD,,0.1,0.1,0.0,1.0,0.0,False,exit_or_trend_veto_block,3,4,0.0,0.0,7,rule100_softmax_v1_history
2025-04-03,AMZN,84788,HOLD,,0.1,0.1,0.0,1.0,0.0,False,exit_or_trend_veto_block,3,4,0.0,0.0,8,rule100_softmax_v1_history
2025-04-04,AMZN,84788,HOLD,,0.1,0.1,0.0,1.0,0.0,False,exit_or_trend_veto_block,3,4,0.0,0.0,9,rule100_softmax_v1_history
