

--- ob_w_company_id_table_lms ---
                        name  nullable              type                                                                                           comment
0                      bvdid      True           VARCHAR                                                                                     BVD ID NUMBER
1                   prevname      True           VARCHAR                                                                             PREVIOUS COMPANY NAME
2                   namechdt      True              DATE                                                                                  NAME CHANGE DATE
3              namechdt_year      True  DOUBLE PRECISION                                            Year part of NAME CHANGE DATE (created from NAMECHDT )
4              namechdt_char      True           VARCHAR                                          Text format of NAME CHANGE DATE (created from NAMECHDT )
5                    akaname      True           VARCHAR                                                                                ALSO KNOWN AS NAME
6        historic_status_str      True           VARCHAR                                                                                            STATUS
7        historic_statusdate      True              DATE                                                                                       STATUS DATE
8   historic_statusdate_year      True  DOUBLE PRECISION                                      Year part of STATUS DATE (created from HISTORIC_STATUSDATE )
9   historic_statusdate_char      True           VARCHAR                                    Text format of STATUS DATE (created from HISTORIC_STATUSDATE )
10                   slegalf      True           VARCHAR                                                                           STANDARDISED LEGAL FORM
11                  legalfrm      True           VARCHAR                                                                               NATIONAL LEGAL FORM
12        wocomatch_hasmatch      True           VARCHAR                                   SAME OR SIMILAR NAME IN THE LEXISNEXIS WORLDCOMPLIANCE DATABASE
13                   dateinc      True              DATE                                                                             DATE OF INCORPORATION
14              dateinc_year      True  DOUBLE PRECISION                                        Year part of DATE OF INCORPORATION (created from DATEINC )
15              dateinc_char      True           VARCHAR                                      Text format of DATE OF INCORPORATION (created from DATEINC )
16                  stateinc      True           VARCHAR                                                                    STATE OF INCORPORATION (IN US)
17                    _40025      True           VARCHAR                                                                                    TYPE OF ENTITY
18          filing_exemption      True           VARCHAR                                                                        REASON OF FILING EXEMPTION
19       category_of_company      True           VARCHAR                                                                           CATEGORY OF THE COMPANY
20                    listed      True           VARCHAR                                                                          LISTED/DELISTED/UNLISTED
21             delisted_date      True              DATE                                                                                     DELISTED DATE
22        delisted_date_year      True  DOUBLE PRECISION                                          Year part of DELISTED DATE (created from DELISTED_DATE )
23        delisted_date_char      True           VARCHAR                                        Text format of DELISTED DATE (created from DELISTED_DATE )
24          delisted_comment      True           VARCHAR                                                                                  DELISTED COMMENT
25                  mainexch      True           VARCHAR                                                                                     MAIN EXCHANGE
26                  ipo_date      True              DATE                                                                                          IPO DATE
27             ipo_date_year      True  DOUBLE PRECISION                                                    Year part of IPO DATE (created from IPO_DATE )
28             ipo_date_char      True           VARCHAR                                                  Text format of IPO DATE (created from IPO_DATE )
29                nofinflags      True           VARCHAR                                                                         NO RECENT FINANCIALS FLAG
30              histrecflags      True           VARCHAR                                                                            HISTORICAL RECORD FLAG
31            historicaldate      True              DATE                                                                           HISTORICAL RECORD SINCE
32       historicaldate_char      True           VARCHAR                             Text format of HISTORICAL RECORD SINCE (created from HISTORICALDATE )
33            source_ip_name      True           VARCHAR                                                                              INFORMATION PROVIDER
34                   lei_lei      True           VARCHAR                                                                     LEI (LEGAL ENTITY IDENTIFIER)
35                 sd_ticker      True           VARCHAR                                                                                     TICKER SYMBOL
36                   sd_isin      True           VARCHAR                                                                                       ISIN NUMBER
37             name_internat      True           VARCHAR                                                                                     NAME_INTERNAT
38               name_native      True           VARCHAR                                                                                       NAME_NATIVE
39             addr_internat      True           VARCHAR                                                                 STREET, NO., BUILDING ETC, LINE 1
40               addr_native      True           VARCHAR                                                        STREET, NO., BUILDING ETC, LINE 1 (NATIVE)
41            addr2_internat      True           VARCHAR                                                                 STREET, NO., BUILDING ETC, LINE 2
42              addr2_native      True           VARCHAR                                                        STREET, NO., BUILDING ETC, LINE 2 (NATIVE)
43            addr3_internat      True           VARCHAR                                                                 STREET, NO., BUILDING ETC, LINE 3
44              addr3_native      True           VARCHAR                                                        STREET, NO., BUILDING ETC, LINE 3 (NATIVE)
45            addr4_internat      True           VARCHAR                                                                 STREET, NO., BUILDING ETC, LINE 4
46              addr4_native      True           VARCHAR                                                        STREET, NO., BUILDING ETC, LINE 4 (NATIVE)
47                  postcode      True           VARCHAR                                                                                          POSTCODE
48             city_internat      True           VARCHAR                                                                                              CITY
49               city_native      True           VARCHAR                                                                                     CITY (NATIVE)
50                   country      True           VARCHAR                                                                                           COUNTRY
51                   ctryiso      True           VARCHAR                                                                                  COUNTRY ISO CODE
52                metro_area      True           VARCHAR                                                                         METROPOLITAN AREA (IN US)
53                  state_us      True           VARCHAR                                                               STATE OR PROVINCE (IN US OR CANADA)
54                    county      True           VARCHAR                                                                          COUNTY (IN US OR CANADA)
55                     phone      True           VARCHAR                                                                                  TELEPHONE NUMBER
56                       fax      True           VARCHAR                                                                                        FAX NUMBER
57                   website      True           VARCHAR                                                                                   WEBSITE ADDRESS
58                     email      True           VARCHAR                                                                                    E-MAIL ADDRESS
59         region_in_country      True           VARCHAR                                                                                 REGION IN COUNTRY
60          type_reg_country      True           VARCHAR                                                                         TYPE OF REGION IN COUNTRY
61                     nuts1      True           VARCHAR                                                                                             NUTS1
62                     nuts2      True           VARCHAR                                                                                             NUTS2
63                     nuts3      True           VARCHAR                                                                                             NUTS3
64            dataset_source      True  DOUBLE PRECISION  dataset source, created by WRDS, bvdid in legal_info (100), identifiers (10) or contact_info (1)

--- ob_w_ind_g_fins_cfl_usd_lms ---
                            name  nullable              type                                                                           comment
0                          bvdid      True           VARCHAR                                                                     BVD ID NUMBER
1            category_of_company      True           VARCHAR                                                           CATEGORY OF THE COMPANY
2                        ctryiso      True           VARCHAR                                                                  COUNTRY ISO CODE
3                       conscode      True           VARCHAR                                                                CONSOLIDATION CODE
4                    filing_type      True           VARCHAR                                                                       FILING TYPE
5                       closdate      True              DATE                                                                      CLOSING DATE
6                  closdate_year      True  DOUBLE PRECISION                                Year part of CLOSING DATE (created from CLOSDATE )
7                  closdate_char      True           VARCHAR                              Text format of CLOSING DATE (created from CLOSDATE )
8                      nr_months      True           VARCHAR                           NUMBER OF MONTHS-from global financials and ratios data
